ticker,sector
ASIANPAINT,Consumer Durables
AXISBANK,Financial Services
BAJFINANCE,Financial Services
BHARTIARTL,Telecommunication
HDFCBANK,Financial Services
HINDUNILVR,Fast Moving Consumer Goods
ICICIBANK,Financial Services
INFY,Information Technology
ITC,Fast Moving Consumer Goods
KOTAKBANK,Financial Services
LT,Construction
MARUTI,Automobile and Auto Components
NESTLEIND,Fast Moving Consumer Goods
RELIANCE,Oil Gas and Consumable Fuels
SBIN,Financial Services
SUNPHARMA,Healthcare
TCS,Information Technology
TITAN,Consumer Durables
ULTRACEMCO,Construction Materials
WIPRO,Information Technology
